ID,QUEUE_ID,CU,CPU_USAGE,MEM_USAGE,LAUNCHING_JOB_NUMS,RUNNING_JOB_NUMS,SUCCEED_JOB_NUMS,CANCELLED_JOB_NUMS,FAILED_JOB_NUMS,DOTTING_TIME,DISK_USAGE,QUEUE_TYPE_general,QUEUE_TYPE_spark,QUEUE_TYPE_sql
15,21487,64,2,62,0,0,0,0,0,2020-09-01 21:28:00,20,0,0,1
15,21487,64,3,61,0,0,0,0,0,2020-09-01 21:33:00,20,0,0,1
15,21487,64,6,61,0,0,0,0,0,2020-09-01 21:38:00,20,0,0,1
16,21487,64,5,50,0,1,1,0,0,2020-09-17 15:55:00,20,0,0,1
16,21487,64,3,49,0,0,0,0,0,2020-09-17 16:00:00,20,0,0,1
16,21487,64,4,50,0,35,32,0,0,2020-09-17 16:05:00,20,0,0,1
16,21487,64,48,57,0,24,101,0,0,2020-09-17 16:10:00,20,0,0,1
16,21487,64,36,60,0,15,109,0,0,2020-09-17 16:15:00,20,0,0,1
17,297,16,2,46,0,9,3,0,1,2023-10-26 05:02:00,9,0,0,1
17,297,16,84,71,0,7,11,0,1,2023-10-26 05:07:00,9,0,0,1
17,297,16,48,66,0,6,6,0,1,2023-10-26 05:12:00,9,0,0,1
17,297,16,36,60,0,10,1,0,0,2023-10-26 05:17:00,9,0,0,1
17,297,16,44,62,0,9,1,0,0,2023-10-26 05:22:00,9,0,0,1
18,85153,64,59,41,0,1,1,1,0,2021-01-16 08:08:00,20,1,0,0
18,85153,64,2,26,0,0,0,0,0,2021-01-16 08:13:00,20,1,0,0
18,85153,64,4,36,0,0,0,0,0,2021-01-16 08:18:00,20,1,0,0
18,85153,64,3,38,0,0,0,0,0,2021-01-16 08:23:00,20,1,0,0
18,85153,64,43,41,0,0,0,0,0,2021-01-16 08:28:00,20,1,0,0
19,297,16,8,66,0,3,5,0,0,2020-10-05 04:32:00,9,0,0,1
19,297,16,3,63,0,3,6,0,0,2020-10-05 04:37:00,9,0,0,1
19,297,16,2,63,0,4,4,0,0,2020-10-05 04:42:00,9,0,0,1
19,297,16,2,63,0,5,4,0,0,2020-10-05 04:47:00,9,0,0,1
19,297,16,2,63,0,1,6,0,0,2020-10-05 04:52:00,9,0,0,1
20,21487,64,3,37,0,0,0,0,0,2021-07-31 16:02:00,29,0,0,1
20,21487,64,1,37,0,6,1,0,0,2021-07-31 16:07:00,29,0,0,1
20,21487,64,1,36,0,5,25,0,1,2021-07-31 16:12:00,29,0,0,1
20,21487,64,7,36,0,1,69,0,0,2021-07-31 16:17:00,29,0,0,1
20,21487,64,1,35,0,7,2,0,0,2021-07-31 16:22:00,29,0,0,1
21,297,16,18,81,0,8,2,0,0,2021-03-10 14:55:00,9,0,0,1
21,297,16,2,79,0,4,5,0,0,2021-03-10 15:00:00,9,0,0,1
21,297,16,80,82,0,7,3,0,0,2021-03-10 15:05:00,9,0,0,1
21,297,16,92,77,0,9,1,0,0,2021-03-10 15:10:00,9,0,0,1
21,297,16,71,75,0,7,6,0,0,2021-03-10 15:15:00,9,0,0,1
22,2,16,3,51,0,0,0,0,0,2020-08-29 22:16:00,26,0,0,1
22,2,16,4,51,0,0,0,0,0,2020-08-29 22:21:00,26,0,0,1
22,2,16,3,51,0,0,0,0,0,2020-08-29 22:26:00,26,0,0,1
22,2,16,2,51,0,0,0,0,0,2020-08-29 22:31:00,26,0,0,1
22,2,16,2,51,0,0,0,0,0,2020-08-29 22:36:00,26,0,0,1
23,2,16,3,50,0,0,0,0,0,2020-08-24 09:10:00,26,0,0,1
23,2,16,2,50,0,0,0,0,0,2020-08-24 09:15:00,26,0,0,1
23,2,16,2,50,0,0,0,0,0,2020-08-24 09:20:00,26,0,0,1
23,2,16,4,50,0,0,0,0,0,2020-08-24 09:25:00,26,0,0,1
23,2,16,11,50,0,0,0,0,0,2020-08-24 09:30:00,26,0,0,1
24,21487,64,80,89,0,19,44,0,0,2020-10-31 19:26:00,20,0,0,1
24,21487,64,47,86,0,4,115,0,0,2020-10-31 19:31:00,20,0,0,1
24,21487,64,13,64,0,5,112,0,0,2020-10-31 19:36:00,20,0,0,1
24,21487,64,6,63,0,6,96,0,0,2020-10-31 19:41:00,20,0,0,1
24,21487,64,16,64,0,2,19,0,0,2020-10-31 19:46:00,20,0,0,1
25,85265,64,2,28,0,25,3,0,0,2020-08-26 00:25:00,29,0,0,1
25,85265,64,1,28,21,44,3,0,3,2020-08-26 00:30:00,29,0,0,1
25,85265,64,0,28,12,1,3,0,1,2020-08-26 00:35:00,29,0,0,1
25,85265,64,1,28,4,49,3,0,0,2020-08-26 00:40:00,29,0,0,1
25,85265,64,1,28,0,43,3,0,0,2020-08-26 00:45:00,29,0,0,1
26,297,16,46,62,0,4,2,0,2,2022-02-27 00:26:00,9,0,0,1
26,297,16,4,62,0,6,1,0,1,2022-02-27 00:31:00,9,0,0,1
26,297,16,2,57,0,4,2,0,3,2022-02-27 00:36:00,9,0,0,1
26,297,16,2,55,0,9,0,0,0,2022-02-27 00:41:00,9,0,0,1
26,297,16,2,55,0,7,0,0,0,2022-02-27 00:46:00,9,0,0,1
27,21487,64,26,67,0,2,75,0,0,2020-09-30 17:58:00,20,0,0,1
27,21487,64,17,63,0,1,121,0,0,2020-09-30 18:03:00,20,0,0,1
27,21487,64,7,61,0,12,111,0,0,2020-09-30 18:08:00,20,0,0,1
27,21487,64,5,61,0,6,103,0,0,2020-09-30 18:13:00,20,0,0,1
27,21487,64,3,61,0,1,86,0,0,2020-09-30 18:18:00,20,0,0,1
28,297,16,93,76,0,4,4,0,0,2021-03-31 14:11:00,9,0,0,1
28,297,16,64,78,0,4,3,0,0,2021-03-31 14:16:00,9,0,0,1
28,297,16,16,68,0,5,4,0,0,2021-03-31 14:21:00,9,0,0,1
28,297,16,2,65,0,4,3,0,0,2021-03-31 14:26:00,9,0,0,1
28,297,16,2,50,0,3,5,0,0,2021-03-31 14:31:00,9,0,0,1
29,297,16,95,79,0,7,3,0,1,2022-09-12 05:16:00,9,0,0,1
29,297,16,72,66,0,8,4,0,1,2022-09-12 05:21:00,9,0,0,1
29,297,16,47,64,0,8,1,0,0,2022-09-12 05:26:00,9,0,0,1
29,297,16,60,51,0,8,6,0,1,2022-09-12 05:31:00,9,0,0,1
29,297,16,94,55,0,4,5,0,1,2022-09-12 05:36:00,9,0,0,1
30,297,16,94,68,0,10,0,0,0,2022-04-16 12:10:00,9,0,0,1
30,297,16,62,68,0,6,2,0,0,2022-04-16 12:15:00,9,0,0,1
30,297,16,46,67,0,3,9,0,0,2022-04-16 12:20:00,9,0,0,1
30,297,16,31,65,0,6,3,0,0,2022-04-16 12:25:00,9,0,0,1
30,297,16,3,54,0,9,0,0,0,2022-04-16 12:30:00,9,0,0,1
31,2,16,5,50,0,0,0,0,0,2020-08-28 01:31:00,26,0,0,1
31,2,16,3,51,0,0,0,0,0,2020-08-28 01:36:00,26,0,0,1
31,2,16,3,51,0,0,0,0,0,2020-08-28 01:41:00,26,0,0,1
31,2,16,9,51,0,0,0,0,0,2020-08-28 01:46:00,26,0,0,1
31,2,16,13,51,0,0,0,0,0,2020-08-28 01:51:00,26,0,0,1
32,85153,64,92,79,0,0,0,0,0,2021-08-21 09:36:00,20,1,0,0
32,85153,64,68,96,0,0,0,0,0,2021-08-21 09:41:00,20,1,0,0
32,85153,64,76,99,0,0,0,0,0,2021-08-21 09:46:00,20,1,0,0
32,85153,64,93,99,0,0,0,0,0,2021-08-21 09:51:00,20,1,0,0
32,85153,64,73,99,0,0,0,0,0,2021-08-21 09:56:00,20,1,0,0
33,2,16,4,56,0,0,0,0,0,2020-09-15 08:03:00,26,0,0,1
33,2,16,5,56,0,0,0,0,0,2020-09-15 08:08:00,26,0,0,1
33,2,16,4,56,0,0,0,0,0,2020-09-15 08:13:00,26,0,0,1
33,2,16,3,56,0,0,0,0,0,2020-09-15 08:18:00,26,0,0,1
33,2,16,5,56,0,0,0,0,0,2020-09-15 08:23:00,26,0,0,1
34,85153,64,72,37,0,1,1,0,0,2021-07-31 04:59:00,20,1,0,0
34,85153,64,61,38,0,1,1,0,3,2021-07-31 05:04:00,20,1,0,0
34,85153,64,41,34,0,0,0,0,0,2021-07-31 05:09:00,20,1,0,0
34,85153,64,79,56,0,0,0,0,0,2021-07-31 05:14:00,20,1,0,0
34,85153,64,68,71,0,0,0,0,0,2021-07-31 05:19:00,20,1,0,0
35,297,16,2,49,0,6,4,0,0,2021-02-05 02:04:00,9,0,0,1
35,297,16,2,50,0,3,6,0,0,2021-02-05 02:09:00,9,0,0,1
35,297,16,4,49,0,6,2,0,0,2021-02-05 02:14:00,9,0,0,1
35,297,16,3,50,0,4,4,0,0,2021-02-05 02:19:00,9,0,0,1
35,297,16,1,49,0,4,4,0,0,2021-02-05 02:24:00,9,0,0,1
36,297,16,6,73,0,1,7,0,0,2020-10-04 03:28:00,9,0,0,1
36,297,16,1,59,0,7,2,0,0,2020-10-04 03:33:00,9,0,0,1
36,297,16,7,55,0,2,7,0,1,2020-10-04 03:38:00,9,0,0,1
36,297,16,2,48,0,4,4,0,0,2020-10-04 03:43:00,9,0,0,1
36,297,16,2,47,0,3,9,0,0,2020-10-04 03:48:00,9,0,0,1
37,297,16,2,43,0,6,4,0,0,2022-09-01 07:55:00,9,0,0,1
37,297,16,2,34,0,6,5,0,2,2022-09-01 08:00:00,9,0,0,1
37,297,16,84,62,0,8,3,0,0,2022-09-01 08:05:00,9,0,0,1
37,297,16,77,71,0,10,6,0,0,2022-09-01 08:10:00,9,0,0,1
37,297,16,34,60,0,4,6,0,0,2022-09-01 08:15:00,9,0,0,1
38,297,16,2,45,0,7,2,0,0,2022-06-27 02:46:00,9,0,0,1
38,297,16,1,44,0,5,4,0,0,2022-06-27 02:51:00,9,0,0,1
38,297,16,2,44,0,8,3,0,0,2022-06-27 02:56:00,9,0,0,1
38,297,16,89,69,0,10,0,0,0,2022-06-27 03:01:00,9,0,0,1
38,297,16,70,73,0,8,3,0,0,2022-06-27 03:06:00,9,0,0,1
39,85153,64,19,45,0,0,0,0,0,2021-08-15 23:37:00,20,1,0,0
39,85153,64,45,61,0,0,0,0,0,2021-08-15 23:42:00,20,1,0,0
39,85153,64,20,69,0,1,1,0,2,2021-08-15 23:47:00,20,1,0,0
39,85153,64,4,25,0,0,0,0,0,2021-08-15 23:52:00,20,1,0,0
39,85153,64,17,31,0,0,0,0,0,2021-08-15 23:57:00,20,1,0,0
40,297,16,44,66,0,9,0,0,0,2021-07-19 14:07:00,8,0,0,1
40,297,16,84,83,0,9,0,0,0,2021-07-19 14:12:00,8,0,0,1
40,297,16,45,82,0,3,7,0,0,2021-07-19 14:17:00,8,0,0,1
40,297,16,80,76,0,7,2,0,0,2021-07-19 14:22:00,8,0,0,1
40,297,16,72,69,0,4,7,0,0,2021-07-19 14:27:00,8,0,0,1
41,21487,64,2,46,0,49,2,0,8,2021-10-14 06:47:00,29,0,0,1
41,21487,64,1,46,0,49,7,0,14,2021-10-14 06:52:00,29,0,0,1
41,21487,64,13,45,0,49,10,0,9,2021-10-14 06:57:00,29,0,0,1
41,21487,64,17,47,0,12,45,0,8,2021-10-14 07:02:00,29,0,0,1
41,21487,64,13,52,0,1,125,0,6,2021-10-14 07:07:00,29,0,0,1
42,297,16,70,75,0,6,4,0,0,2022-01-22 09:17:00,9,0,0,1
42,297,16,57,76,0,7,4,0,0,2022-01-22 09:22:00,9,0,0,1
42,297,16,83,65,0,10,1,0,0,2022-01-22 09:27:00,9,0,0,1
42,297,16,20,61,0,5,6,0,0,2022-01-22 09:32:00,9,0,0,1
42,297,16,4,59,0,5,1,0,0,2022-01-22 09:37:00,9,0,0,1
43,287,16,63,77,0,1,0,0,0,2020-08-20 14:36:00,29,0,0,1
43,287,16,56,75,0,1,0,0,0,2020-08-20 14:41:00,29,0,0,1
43,287,16,61,76,0,1,0,0,0,2020-08-20 14:46:00,29,0,0,1
43,287,16,41,74,0,1,1,0,0,2020-08-20 14:51:00,29,0,0,1
43,287,16,56,69,0,1,0,0,0,2020-08-20 14:56:00,29,0,0,1
44,2,16,3,50,0,0,0,0,0,2020-08-17 14:27:00,26,0,0,1
44,2,16,3,49,0,0,0,0,0,2020-08-17 14:32:00,26,0,0,1
44,2,16,3,49,0,0,0,0,0,2020-08-17 14:37:00,26,0,0,1
44,2,16,4,49,0,0,0,0,0,2020-08-17 14:42:00,26,0,0,1
44,2,16,3,49,0,0,0,0,0,2020-08-17 14:47:00,26,0,0,1
45,297,16,66,76,0,6,5,0,0,2021-03-22 04:20:00,8,0,0,1
45,297,16,2,74,0,4,5,0,0,2021-03-22 04:25:00,8,0,0,1
45,297,16,2,71,0,6,2,0,0,2021-03-22 04:30:00,8,0,0,1
45,297,16,1,56,0,4,6,0,0,2021-03-22 04:35:00,8,0,0,1
45,297,16,2,44,0,8,1,0,0,2021-03-22 04:40:00,8,0,0,1
46,85693,16,6,47,0,0,0,0,0,2020-08-22 10:39:00,29,1,0,0
46,85693,16,3,47,0,24,1,0,1,2020-08-22 10:44:00,29,1,0,0
46,85693,16,2,47,0,22,1,0,3,2020-08-22 10:49:00,29,1,0,0
46,85693,16,9,47,0,0,0,0,0,2020-08-22 10:54:00,29,1,0,0
46,85693,16,4,47,1,1,1,1,0,2020-08-22 10:59:00,29,1,0,0
47,297,16,52,58,0,4,5,0,0,2022-07-12 19:10:00,9,0,0,1
47,297,16,2,56,0,5,2,0,0,2022-07-12 19:15:00,9,0,0,1
47,297,16,51,52,0,8,3,0,0,2022-07-12 19:20:00,9,0,0,1
47,297,16,3,37,0,9,0,0,0,2022-07-12 19:25:00,9,0,0,1
47,297,16,2,38,0,7,1,0,1,2022-07-12 19:30:00,9,0,0,1
48,297,16,1,36,0,8,1,0,0,2022-07-30 14:47:00,9,0,0,1
48,297,16,2,35,0,6,1,0,1,2022-07-30 14:52:00,9,0,0,1
48,297,16,1,34,0,5,4,0,0,2022-07-30 14:57:00,9,0,0,1
48,297,16,52,49,0,7,3,0,0,2022-07-30 15:02:00,9,0,0,1
48,297,16,73,69,0,8,1,0,0,2022-07-30 15:07:00,9,0,0,1
49,4,16,3,73,0,0,0,0,0,2020-08-13 01:13:00,20,1,0,0
49,4,16,3,73,0,0,0,0,0,2020-08-13 01:18:00,20,1,0,0
49,4,16,3,73,0,0,0,0,0,2020-08-13 01:23:00,20,1,0,0
49,4,16,7,73,0,0,0,0,0,2020-08-13 01:28:00,20,1,0,0
49,4,16,5,73,0,0,0,0,0,2020-08-13 01:33:00,20,1,0,0
50,297,16,2,61,0,5,4,0,0,2021-02-25 00:34:00,9,0,0,1
50,297,16,2,61,0,3,6,0,0,2021-02-25 00:39:00,9,0,0,1
50,297,16,3,61,0,5,3,0,0,2021-02-25 00:44:00,9,0,0,1
50,297,16,2,52,0,5,4,0,0,2021-02-25 00:49:00,9,0,0,1
50,297,16,12,52,0,3,5,0,0,2021-02-25 00:54:00,9,0,0,1
51,85153,64,7,24,0,0,0,0,0,2021-09-03 02:49:00,20,1,0,0
51,85153,64,37,31,0,0,0,0,0,2021-09-03 02:54:00,20,1,0,0
51,85153,64,7,44,0,0,0,0,0,2021-09-03 02:59:00,20,1,0,0
51,85153,64,32,49,0,0,0,0,0,2021-09-03 03:04:00,20,1,0,0
51,85153,64,68,70,0,0,0,0,0,2021-09-03 03:09:00,20,1,0,0
52,297,16,42,73,0,2,2,0,0,2022-03-19 00:16:00,9,0,0,1
52,297,16,28,69,0,8,1,0,0,2022-03-19 00:21:00,9,0,0,1
52,297,16,30,64,0,7,3,0,0,2022-03-19 00:26:00,9,0,0,1
52,297,16,2,64,0,4,5,0,0,2022-03-19 00:31:00,9,0,0,1
52,297,16,2,47,0,5,4,0,0,2022-03-19 00:36:00,9,0,0,1
53,4,16,3,78,0,0,0,0,0,2020-09-13 21:05:00,20,1,0,0
53,4,16,2,78,0,0,0,0,0,2020-09-13 21:10:00,20,1,0,0
53,4,16,2,78,0,0,0,0,0,2020-09-13 21:15:00,20,1,0,0
53,4,16,2,78,0,0,0,0,0,2020-09-13 21:20:00,20,1,0,0
53,4,16,5,78,0,0,0,0,0,2020-09-13 21:25:00,20,1,0,0
54,85153,64,89,70,0,0,0,0,0,2020-12-06 10:19:00,20,1,0,0
54,85153,64,47,92,0,0,0,0,0,2020-12-06 10:24:00,20,1,0,0
54,85153,64,34,97,0,0,0,0,0,2020-12-06 10:29:00,20,1,0,0
54,85153,64,76,99,0,0,0,0,0,2020-12-06 10:34:00,20,1,0,0
54,85153,64,62,98,0,0,0,0,0,2020-12-06 10:39:00,20,1,0,0
55,297,16,2,44,0,7,2,0,1,2023-01-12 21:11:00,9,0,0,1
55,297,16,56,63,0,8,1,0,0,2023-01-12 21:16:00,9,0,0,1
55,297,16,28,64,0,6,3,0,2,2023-01-12 21:21:00,9,0,0,1
55,297,16,11,65,0,6,0,0,2,2023-01-12 21:26:00,9,0,0,1
55,297,16,19,56,0,5,3,0,1,2023-01-12 21:31:00,9,0,0,1
56,297,16,89,76,0,11,0,0,0,2022-09-11 04:15:00,9,0,0,1
56,297,16,76,69,0,7,6,0,0,2022-09-11 04:20:00,9,0,0,1
56,297,16,58,64,0,6,5,0,0,2022-09-11 04:25:00,9,0,0,1
56,297,16,25,65,0,10,5,0,0,2022-09-11 04:30:00,9,0,0,1
56,297,16,80,65,0,6,4,0,0,2022-09-11 04:35:00,9,0,0,1
57,297,16,6,61,0,2,4,0,0,2020-09-03 15:55:00,9,0,0,1
57,297,16,3,56,52,19,85,0,6,2020-09-03 16:00:00,9,0,0,1
57,297,16,77,75,0,5,45,0,0,2020-09-03 16:05:00,9,0,0,1
57,297,16,80,80,0,4,5,0,0,2020-09-03 16:10:00,9,0,0,1
57,297,16,50,73,0,2,8,0,0,2020-09-03 16:15:00,9,0,0,1
58,4,16,3,78,0,0,0,0,0,2020-09-09 12:34:00,20,1,0,0
58,4,16,2,78,0,0,0,0,0,2020-09-09 12:39:00,20,1,0,0
58,4,16,4,78,0,0,0,0,0,2020-09-09 12:44:00,20,1,0,0
58,4,16,3,78,0,0,0,0,0,2020-09-09 12:49:00,20,1,0,0
58,4,16,3,78,0,0,0,0,0,2020-09-09 12:54:00,20,1,0,0
59,3,16,3,92,0,0,0,0,0,2020-08-21 13:47:00,20,0,0,1
59,3,16,6,92,0,0,0,0,0,2020-08-21 13:52:00,20,0,0,1
59,3,16,6,92,0,0,0,0,0,2020-08-21 13:57:00,20,0,0,1
59,3,16,2,92,0,0,0,0,0,2020-08-21 14:02:00,20,0,0,1
59,3,16,6,92,0,0,0,0,0,2020-08-21 14:07:00,20,0,0,1
60,297,16,100,53,0,45,0,0,0,2021-11-16 06:30:00,9,0,0,1
60,297,16,100,53,0,45,0,0,0,2021-11-16 06:35:00,9,0,0,1
60,297,16,99,53,0,45,0,0,0,2021-11-16 06:40:00,9,0,0,1
60,297,16,100,53,0,45,0,0,0,2021-11-16 06:45:00,9,0,0,1
60,297,16,99,53,1,48,1,1,0,2021-11-16 06:50:00,9,0,0,1
61,297,16,27,80,0,5,2,0,1,2022-06-23 23:17:00,9,0,0,1
61,297,16,31,75,0,6,3,0,0,2022-06-23 23:22:00,9,0,0,1
61,297,16,13,70,0,7,2,0,0,2022-06-23 23:27:00,9,0,0,1
61,297,16,1,58,0,6,3,0,0,2022-06-23 23:32:00,9,0,0,1
61,297,16,5,46,0,5,3,0,1,2022-06-23 23:37:00,9,0,0,1
62,297,16,2,35,0,5,5,0,0,2023-06-10 14:46:00,9,0,0,1
62,297,16,1,37,0,3,1,0,2,2023-06-10 14:51:00,9,0,0,1
62,297,16,1,37,0,3,1,0,2,2023-06-10 14:56:00,9,0,0,1
62,297,16,22,41,0,5,2,0,1,2023-06-10 15:01:00,9,0,0,1
62,297,16,89,69,0,6,0,0,1,2023-06-10 15:06:00,9,0,0,1
63,21487,64,1,25,0,0,0,0,0,2021-10-05 13:49:00,29,0,0,1
63,21487,64,1,25,0,0,0,0,0,2021-10-05 13:54:00,29,0,0,1
63,21487,64,1,26,0,6,14,0,1,2021-10-05 13:59:00,29,0,0,1
63,21487,64,27,35,0,1,69,0,0,2021-10-05 14:04:00,29,0,0,1
63,21487,64,6,35,0,8,122,0,0,2021-10-05 14:09:00,29,0,0,1
64,293,960,0,18,0,1,5,0,0,2020-08-31 20:33:00,26,0,0,1
64,293,960,0,18,0,1,0,0,0,2020-08-31 20:38:00,26,0,0,1
64,293,960,0,18,0,1,1,0,0,2020-08-31 20:43:00,26,0,0,1
64,293,960,0,18,0,1,7,0,0,2020-08-31 20:48:00,26,0,0,1
64,293,960,0,18,0,1,6,0,0,2020-08-31 20:53:00,26,0,0,1
65,85153,64,1,99,0,0,0,0,0,2021-04-29 10:18:00,20,1,0,0
65,85153,64,1,99,0,0,0,0,0,2021-04-29 10:23:00,20,1,0,0
65,85153,64,4,99,0,0,0,0,0,2021-04-29 10:28:00,20,1,0,0
65,85153,64,3,99,0,0,0,0,0,2021-04-29 10:33:00,20,1,0,0
65,85153,64,1,99,0,0,0,0,0,2021-04-29 10:38:00,20,1,0,0
66,297,16,100,78,0,38,0,0,0,2023-04-18 15:40:00,9,0,0,1
66,297,16,100,78,0,38,0,0,0,2023-04-18 15:45:00,9,0,0,1
66,297,16,100,78,0,38,0,0,0,2023-04-18 15:50:00,9,0,0,1
66,297,16,100,78,0,38,0,0,0,2023-04-18 15:55:00,9,0,0,1
66,297,16,100,78,199,49,0,1,16,2023-04-18 16:00:00,9,0,0,1
